iter	Passed	Remaining
0	54	36087
1	128	42946
2	189	42050
3	242	40386
4	300	39916
5	356	39432
6	412	39025
7	478	39496
8	536	39328
9	590	38925
10	655	39220
11	708	38805
12	763	38512
13	817	38227
14	872	38062
15	928	37896
16	996	38221
17	1056	38202
18	1111	38025
19	1172	38050
20	1228	37903
21	1285	37801
22	1349	37910
23	1410	37914
24	1476	38036
25	1538	38057
26	1595	37944
27	1651	37817
28	1709	37718
29	1770	37710
30	1828	37623
31	1879	37407
32	1932	37252
33	1990	37178
34	2049	37130
35	2107	37050
36	2160	36907
37	2213	36753
38	2270	36684
39	2325	36561
40	2381	36475
41	2436	36378
42	2493	36295
43	2550	36221
44	2605	36136
45	2663	36072
46	2718	35977
47	2772	35871
48	2828	35792
49	2885	35719
50	2941	35638
51	3007	35689
52	3068	35667
53	3121	35549
54	3187	35585
55	3247	35549
56	3304	35474
57	3358	35378
58	3418	35339
59	3480	35322
60	3539	35278
61	3595	35201
62	3659	35201
63	3714	35109
64	3770	35041
65	3826	34960
66	3887	34932
67	3949	34904
68	4015	34920
69	4078	34898
70	4135	34831
71	4195	34791
72	4249	34692
73	4310	34660
74	4368	34596
75	4423	34511
76	4480	34443
77	4534	34360
78	4586	34256
79	4644	34197
80	4711	34205
81	4769	34144
82	4823	34053
83	4878	33973
84	4931	33885
85	4988	33818
86	5047	33765
87	5105	33706
88	5158	33614
89	5210	33518
90	5265	33446
91	5318	33356
92	5376	33298
93	5436	33253
94	5497	33214
95	5557	33173
96	5621	33147
97	5674	33065
98	5729	32987
99	5782	32902
100	5838	32834
101	5893	32763
102	5950	32699
103	6009	32645
104	6069	32601
105	6124	32527
106	6178	32451
107	6245	32442
108	6297	32356
109	6352	32284
110	6407	32213
111	6466	32156
112	6526	32111
113	6585	32059
114	6645	32012
115	6703	31955
116	6756	31875
117	6810	31803
118	6864	31728
119	6916	31642
120	6972	31576
121	7034	31537
122	7089	31471
123	7143	31396
124	7201	31341
125	7261	31292
126	7320	31243
127	7374	31167
128	7426	31086
129	7479	31012
130	7544	30985
131	7598	30910
132	7656	30854
133	7711	30789
134	7771	30741
135	7834	30705
136	7894	30655
137	7953	30603
138	8021	30587
139	8089	30564
140	8157	30545
141	8227	30534
142	8288	30486
143	8360	30481
144	8420	30431
145	8487	30403
146	8547	30352
147	8610	30311
148	8677	30283
149	8744	30254
150	8810	30222
151	8865	30154
152	8922	30089
153	8975	30014
154	9032	29953
155	9097	29917
156	9158	29865
157	9219	29818
158	9283	29775
159	9332	29687
160	9383	29606
161	9435	29530
162	9490	29461
163	9541	29381
164	9595	29309
165	9653	29251
166	9704	29170
167	9757	29098
168	9815	29038
169	9873	28981
170	9923	28900
171	9973	28819
172	10034	28770
173	10088	28700
174	10153	28660
175	10210	28600
176	10258	28516
